number_global,team_slot,code,type,category,section,group,team,countryCode,name,player,position,notes,sourceUrl,statusCadastro
1,1,MEX-001,SHINY,escudo_do_time,Seleções,Grupo A,México,MEX,Escudo do México,,,Escudo do time,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
2,2,MEX-002,NORMAL,jogador,Seleções,Grupo A,México,MEX,Marcel Ruiz,Marcel Ruiz,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
3,3,MEX-003,NORMAL,jogador,Seleções,Grupo A,México,MEX,Luis Malagón,Luis Malagón,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
4,4,MEX-004,NORMAL,jogador,Seleções,Grupo A,México,MEX,Johan Vásquez,Johan Vásquez,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
5,5,MEX-005,NORMAL,jogador,Seleções,Grupo A,México,MEX,Jorge Sánchez,Jorge Sánchez,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
6,6,MEX-006,NORMAL,jogador,Seleções,Grupo A,México,MEX,César Montes,César Montes,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
7,7,MEX-007,NORMAL,jogador,Seleções,Grupo A,México,MEX,Jesús Gallardo,Jesús Gallardo,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
8,8,MEX-008,NORMAL,jogador,Seleções,Grupo A,México,MEX,Israel Reyes,Israel Reyes,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
9,9,MEX-009,NORMAL,jogador,Seleções,Grupo A,México,MEX,Diego Lainez,Diego Lainez,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
10,10,MEX-010,NORMAL,jogador,Seleções,Grupo A,México,MEX,Carlos Rodríguez,Carlos Rodríguez,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
11,11,MEX-011,NORMAL,jogador,Seleções,Grupo A,México,MEX,Edson Álvarez,Edson Álvarez,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
12,12,MEX-012,NORMAL,jogador,Seleções,Grupo A,México,MEX,Orbelín Pineda,Orbelín Pineda,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
13,13,MEX-013,NORMAL,foto_do_time,Seleções,Grupo A,México,MEX,Foto oficial do México,,,Foto do time,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
14,14,MEX-014,NORMAL,jogador,Seleções,Grupo A,México,MEX,Érick Sánchez,Érick Sánchez,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
15,15,MEX-015,NORMAL,jogador,Seleções,Grupo A,México,MEX,Hirving Lozano,Hirving Lozano,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
16,16,MEX-016,NORMAL,jogador,Seleções,Grupo A,México,MEX,Santiago Giménez,Santiago Giménez,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
17,17,MEX-017,NORMAL,jogador,Seleções,Grupo A,México,MEX,Raúl Jiménez,Raúl Jiménez,,Jogador,https://www.cnnbrasil.com.br/esportes/futebol/copa-do-mundo/veja-todos-os-jogadores-que-estao-no-album-da-copa-do-mundo-2026/,OK
